Gene A	Gene B	Interaction Methods
CCDC71	H3F3B	affinity chromatography technology
CCDC71L	UBC	affinity chromatography technology
CCDC77	UBC	affinity chromatography technology
CCDC7	CIAO1	two hybrid
CCDC7	EWSR1	two hybrid pooling approach|two hybrid
CCDC7	RAD21	two hybrid
CCDC80	CUL4B	affinity chromatography technology
CCDC80	KIAA0101	affinity chromatography technology
CCDC82	VHL	affinity chromatography technology
CCDC85A	NEK2	two hybrid
CCDC85A	PFDN1	two hybrid
CCDC85B	CCNK	two hybrid pooling approach
CCDC85B	CDK18	two hybrid
CCDC85B	CDKN1A	two hybrid pooling approach
CCDC85B	CEP70	two hybrid
CCDC85B	CHCHD3	two hybrid pooling approach
CCDC85B	COPS4	two hybrid
CCDC85B	CWC25	two hybrid pooling approach
CCDC85B	DKFZp451L0319	two hybrid
CCDC85B	DOK5	two hybrid
CCDC85B	DTNB	two hybrid pooling approach|two hybrid
CCDC85B	DUSP13	two hybrid
CCDC85B	EIF3H	two hybrid pooling approach
CCDC85B	ENKD1	two hybrid pooling approach
CCDC85B	EPS8	two hybrid
CCDC85B	EXOC7	two hybrid pooling approach|two hybrid
CCDC85B	EXOC8	two hybrid
CCDC85B	EZH2	two hybrid pooling approach
CCDC85B	FAM107A	two hybrid
CCDC85B	FAM124B	two hybrid
CCDC85B	FAM13C	two hybrid
CCDC85B	FAM208B	two hybrid
CCDC85B	FAM214B	two hybrid
CCDC85B	FAM27E3	two hybrid
CCDC85B	FAM50B	two hybrid
CCDC85B	FASTKD5	two hybrid pooling approach
CCDC85B	FBF1	two hybrid
CCDC85B	FCHSD2	two hybrid pooling approach
CCDC85B	FXR2	two hybrid pooling approach
CCDC85B	GCC1	two hybrid
CCDC85B	GFI1B	pull down
CCDC85B	GPANK1	two hybrid pooling approach
CCDC85B	HMG20B	two hybrid
CCDC85B	HNRNPC	two hybrid pooling approach
CCDC85B	IKZF5	two hybrid
CCDC85B	KANSL1	two hybrid
CCDC85B	KIAA0408	two hybrid pooling approach
CCDC85B	KRT17	two hybrid
CCDC85B	KRT18	two hybrid pooling approach
CCDC85B	KRT20	two hybrid
CCDC85B	KRT6A	two hybrid
CCDC85B	LDOC1	two hybrid
CCDC85B	LMO3	two hybrid
CCDC85B	LNX1	two hybrid pooling approach
CCDC85B	LZTS2	two hybrid pooling approach
CCDC85B	MBIP	two hybrid
CCDC85B	MCM10	two hybrid
CCDC85B	MCRS1	two hybrid
CCDC85B	MEAF6	two hybrid
CCDC85B	MOAP1	two hybrid pooling approach
CCDC85B	MOB1A	two hybrid
CCDC85B	MOB4	two hybrid pooling approach
CCDC85B	NDUFA5	two hybrid
CCDC85B	NEK6	two hybrid
CCDC85B	NGFRAP1	two hybrid pooling approach
CCDC85B	NIF3L1	two hybrid
CCDC85B	NRIP1	two hybrid
CCDC85B	NUP54	two hybrid pooling approach
CCDC85B	PBXIP1	two hybrid
CCDC85B	PIDD	two hybrid
CCDC85B	PKN1	two hybrid
CCDC85B	PLEKHF2	two hybrid
CCDC85B	PLOD3	two hybrid
CCDC85B	POLR2L	two hybrid pooling approach
CCDC85B	PRC1	two hybrid
CCDC85B	PRPF3	two hybrid pooling approach
CCDC85B	PSMA1	two hybrid
CCDC85B	PSMC1	two hybrid pooling approach
CCDC85B	PSMC6	two hybrid pooling approach
CCDC85B	PSMF1	two hybrid
CCDC85B	RALYL	two hybrid
CCDC85B	RBM41	two hybrid pooling approach
CCDC85B	RBM7	two hybrid pooling approach
CCDC85B	RIBC2	two hybrid
CCDC85B	RNF8	two hybrid pooling approach
CCDC85B	SCNM1	two hybrid
CCDC85B	SETD5	two hybrid pooling approach
CCDC85B	SF3A3	two hybrid pooling approach
CCDC85B	SIX1	two hybrid
CCDC85B	SLC12A3	two hybrid
CCDC85B	SLU7	two hybrid
CCDC85B	SMARCD1	two hybrid pooling approach
CCDC85B	SYT17	two hybrid
CCDC85B	SYTL4	two hybrid pooling approach
CCDC85B	TCEANC	two hybrid
CCDC85B	TCHP	two hybrid pooling approach
CCDC85B	TEAD4	two hybrid
CCDC85B	THAP7	two hybrid
CCDC85B	TNNI1	two hybrid
CCDC85B	TNNT1	two hybrid
CCDC85B	TSPYL4	two hybrid
CCDC85B	TTC14	two hybrid
CCDC85B	TUBGCP4	two hybrid pooling approach|two hybrid
CCDC85B	USP2	two hybrid pooling approach|two hybrid
CCDC85B	UTP14A	two hybrid
CCDC85B	UTP6	two hybrid pooling approach
CCDC85B	VPS72	two hybrid
CCDC85B	ZBTB16	two hybrid pooling approach
CCDC85B	ZBTB5	two hybrid
CCDC85B	ZC2HC1C	two hybrid
CCDC85B	ZFC3H1	two hybrid
CCDC85B	ZFP36	two hybrid
CCDC85B	ZNF165	two hybrid
CCDC85B	ZNF205	two hybrid pooling approach
CCDC85B	ZNF250	two hybrid
CCDC85B	ZNF337	two hybrid
CCDC85B	ZNF417	two hybrid pooling approach
CCDC85B	ZNF426	two hybrid pooling approach
CCDC85B	ZNF638	two hybrid pooling approach
CCDC85B	ZNF764	two hybrid
CCDC85B	ZNF821	two hybrid pooling approach
CCDC86	DLST	two hybrid pooling approach|two hybrid
CCDC86	SIRT7	affinity chromatography technology
CCDC86	UBC	affinity chromatography technology
CCDC87	CDK9	enzymatic study
CCDC87	MEPCE	enzymatic study
CCDC87	RUVBL1	enzymatic study
CCDC87	RUVBL2	enzymatic study
CCDC88A	DISC1	two hybrid
CCDC88A	EXOC1	two hybrid
CCDC88A	NDEL1	two hybrid
CCDC88A	PPARG	display technology
CCDC88A	PRKAB1	anti bait coimmunoprecipitation
CCDC88A	PRKACA	pull down
CCDC88A	UBC	affinity chromatography technology
CCDC88A	YWHAH	affinity chromatography technology
CCDC88B	PBX2	two hybrid
CCDC88B	PLEKHA5	two hybrid
CCDC88C	DVL1	in vivo
CCDC88C	ITSN2	two hybrid
CCDC88C	MAPK8	two hybrid
CCDC8	FBXW8	affinity chromatography technology
CCDC8	KAT5	affinity chromatography technology
CCDC8	OBSL1	affinity chromatography technology
CCDC8	PPP1CA	far western blotting
CCDC8	TP53	affinity chromatography technology
CCDC8	UBC	affinity chromatography technology
CCDC90B	CDKN2B	two hybrid pooling approach|two hybrid
CCDC90B	CDKN2C	two hybrid pooling approach
CCDC90B	DLEU1	two hybrid
CCDC90B	DNM2	two hybrid
CCDC90B	EIF2S2	two hybrid
CCDC90B	FXYD6	two hybrid
CCDC90B	KDM1A	in vitro
CCDC90B	LAMTOR1	two hybrid
CCDC90B	NACA	two hybrid
CCDC90B	NIPSNAP3A	two hybrid
CCDC90B	PAFAH1B3	two hybrid pooling approach
CCDC90B	PCDHA4	two hybrid pooling approach
CCDC90B	PIN1	two hybrid
CCDC90B	PNP	two hybrid
CCDC90B	PRDX5	two hybrid pooling approach
CCDC90B	PSMD11	two hybrid pooling approach
CCDC90B	RGL2	two hybrid
CCDC90B	RNF10	two hybrid
CCDC90B	SAT1	two hybrid
CCDC90B	SDHAF2	two hybrid
CCDC90B	SERPINB9	two hybrid pooling approach
CCDC90B	SMN2	two hybrid
CCDC90B	TAC3	two hybrid pooling approach
CCDC90B	TK1	two hybrid
CCDC90B	TSC22D1	two hybrid pooling approach
CCDC91	EWSR1	two hybrid pooling approach|two hybrid
CCDC91	GGA1	in vitro
CCDC91	GGA2	in vitro
CCDC91	SYNRG	in vitro
CCDC91	TESC	two hybrid pooling approach
CCDC91	UBC	affinity chromatography technology
CCDC92	CHGB	two hybrid pooling approach
CCDC92	ELAVL1	pull down
CCDC92	PLEKHA5	pull down
CCDC93	EXOC1	two hybrid
CCDC93	KIAA0101	affinity chromatography technology
CCDC93	TRAF3IP1	two hybrid
CCDC93	UBC	affinity chromatography technology
CCDC97	MAPK14	pull down
CCDC9	POT1	two hybrid
CCDC9	S100A9	two hybrid
CCDC9	TINF2	two hybrid
CCER1	MDFI	two hybrid pooling approach
CCER1	PLSCR1	two hybrid
CCER1	RBPMS	two hybrid
CCHCR1	IKBKG	two hybrid
CCHCR1	POLD2	two hybrid
CCHCR1	POLR2C	two hybrid
CCHCR1	PRKCG	pull down
CCHCR1	STAR	two hybrid
CCHCR1	TRAF4	in vivo
CCHCR1	UBC	affinity chromatography technology
CCIN	CCIN	in vitro
CCK	CCKAR	unspecified method
CCK	CCKBR	in vivo
CCK	CPE	in vivo
CCK	ENPEP	in vitro
CCK	MEP1A	in vitro
CCK	MEP1B	in vitro
CCK	UBC	affinity chromatography technology
CCKAR	CCKAR	in vivo
CCKAR	CCKBR	in vitro
CCKAR	PPP1R9B	pull down
CCKBR	CCKBR	in vitro
CCKBR	FYN	peptide array
CCKBR	GAST	coimmunoprecipitation
CCKBR	GRB2	pull down
CCKBR	NCK1	peptide array
CCKBR	PPP1R9B	pull down
CCKBR	PTPN11	surface plasmon resonance
CCL11	CCR2	in vivo
CCL11	CCR3	in vivo
CCL11	CCR5	in vivo
CCL11	CCRL1	in vitro
CCL11	CXCR3	biochemical
CCL11	DPP4	in vitro
CCL11	NUDT3	two hybrid
CCL11	TPI1	two hybrid pooling approach
CCL13	CCR2	in vitro
CCL13	CCR3	in vitro
CCL13	CCR5	biochemical
CCL13	CCRL1	biochemical
CCL13	CXCR3	biochemical
CCL13	HNRNPH3	two hybrid pooling approach
CCL13	MMP1	in vitro
CCL13	MMP3	in vitro
CCL14	CCR1	in vivo
CCL14	CCR3	in vivo
CCL14	CCR5	in vivo
CCL14	DDX39A	two hybrid
CCL14	PIK3R1	two hybrid
CCL15	CCR1	biochemical
CCL15	CCR3	biochemical
CCL16	CCR1	biochemical
CCL16	CCR2	in vivo
CCL16	CCR5	in vivo
CCL16	CCR8	biochemical
CCL16	CXCR5	biochemical
CCL16	HRH4	in vivo
CCL17	CCL17	in vitro
CCL17	CCR4	biochemical
CCL17	CCR8	biochemical
CCL17	DARC	in vivo
CCL17	VCAM1	in vitro
CCL18	CRMP1	two hybrid pooling approach
CCL18	EEF1A1	in vitro|two hybrid
CCL18	PITPNM3	competition binding
CCL18	TLE1	two hybrid pooling approach
CCL18	TP53	two hybrid
CCL18	UNC119	two hybrid pooling approach
CCL19	CCL19	in vivo
CCL19	CCL22	in vivo
CCL19	CCR10	pull down
CCL19	CCR7	in vivo
CCL19	CCRL1	biochemical
CCL19	CXCL13	in vivo
CCL19	UBC	affinity chromatography technology
CCL1	CCR1	biochemical
CCL1	CCR8	in vitro
CCL1	HUWE1	in vitro
CCL20	CCR6	pull down
CCL20	RALBP1	anti bait coimmunoprecipitation
CCL20	TGFB3	two hybrid
CCL20	TRAF6	pull down
CCL20	VCAN	in vitro
CCL21	CCR10	pull down
CCL21	CCR7	fluorescence microscopy
CCL21	CCRL1	in vitro
CCL21	CTSD	in vitro
CCL21	CXCL13	in vivo
CCL21	GOT2	two hybrid
CCL21	IGFBP7	in vitro
CCL21	UBQLN4	pull down
CCL21	VCAN	pull down
CCL22	CCR4	in vivo
CCL22	CRYAB	two hybrid
CCL22	DPP4	enzymatic study
CCL22	GCLC	two hybrid
CCL22	HERC3	two hybrid
CCL22	VCAM1	pull down
CCL23	CCR1	pull down
CCL24	CCR3	in vivo
CCL25	CCR10	pull down
CCL25	CCR9	in vivo
CCL25	CCRL1	biochemical
CCL26	CCR1	in vivo
CCL26	CCR3	in vivo
CCL26	DYNC2LI1	in vivo
CCL27	CCR10	in vivo
CCL28	CCR10	in vitro
CCL28	CCR3	in vivo
CCL2	CCL2	pull down
CCL2	CCL5	affinity chromatography technology
CCL2	CCR1	biochemical
CCL2	CCR10	in vivo
CCL2	CCR2	biochemical
CCL2	CCR5	in vivo
CCL2	CCRL1	in vitro
CCL2	CDC45	affinity chromatography technology
CCL2	CDC6	affinity chromatography technology
CCL2	DARC	in vivo
CCL2	MCM2	affinity chromatography technology
CCL2	MCM3	affinity chromatography technology
CCL2	MCM7	affinity chromatography technology
CCL2	MMP1	in vitro
CCL2	MMP3	in vitro
CCL2	MMP8	in vitro
CCL2	ORC2	affinity chromatography technology
CCL2	ORC4	affinity chromatography technology
CCL2	PSME1	affinity chromatography technology
CCL2	VCAN	pull down
CCL3	CCL4	in vivo
CCL3	CCR1	in vivo
CCL3	CCR3	biochemical
CCL3	CCR4	pull down
CCL3	CCR5	biochemical
CCL3	CEBPB	in vivo
CCL3	CXCR5	biochemical
CCL3	SRGN	in vivo
CCL3	TGFB1	in vivo
CCL3L3	CCR1	pull down
CCL3L3	CCR3	in vivo
CCL3L3	CCR5	in vivo
CCL3L3	DPP4	in vivo
CCL4	CCR1	biochemical
CCL4	CCR3	biochemical
CCL4	CCR5	biochemical
CCL4	CCR8	in vitro
CCL4	CXCR5	biochemical
CCL4	IL8	in vitro
CCL5	CCR1	in vivo
CCL5	CCR3	in vivo
CCL5	CCR4	pull down
CCL5	CCR5	pull down
CCL5	CCRL1	in vitro
CCL5	CXCR3	biochemical
CCL5	CXCR5	biochemical
CCL5	DARC	in vivo
CCL5	DPP4	in vitro
CCL5	EDC4	two hybrid
CCL5	GRB2	in vivo
CCL5	IGFBP7	in vitro
CCL5	IL8	pull down
CCL5	PF4	in vitro
CCL5	PIGR	in vivo
CCL5	RANGAP1	two hybrid
CCL5	RELA	two hybrid
CCL5	SDC1	in vivo
CCL5	SDC4	affinity chromatography technology
CCL5	SLC2A5	two hybrid
CCL5	TRIP6	two hybrid
CCL5	VCAN	in vitro
CCL7	CCR1	experimental interaction detection
CCL7	CCR10	in vivo
CCL7	CCR2	biochemical
CCL7	CCR3	in vitro
CCL7	CCR5	biochemical
CCL7	CCRL1	biochemical
CCL7	CXCR3	biochemical
CCL7	DARC	in vivo
CCL7	ELAVL1	pull down
CCL7	FEZ1	two hybrid
CCL7	MMP1	in vitro
CCL7	MMP13	in vitro
CCL7	MMP14	in vitro
CCL7	MMP2	in vivo
CCL7	MMP3	in vitro
CCL8	CCR1	in vivo
CCL8	CCR2	in vivo
CCL8	CCR3	in vivo
CCL8	CCR5	in vivo
CCL8	CCRL1	biochemical
CCL8	DARC	in vivo
CCL8	MMP3	in vitro
CCL8	VCAN	in vitro
CCM2	KRIT1	two hybrid
CCM2	PDCD10	two hybrid
CCM2	POT1	two hybrid
CCM2	SMURF1	affinity chromatography technology
CCM2	SMURF2	affinity chromatography technology
CCM2	STK25	two hybrid
CCNA1	CDC20	affinity chromatography technology
CCNA1	CDC25A	in vivo
CCNA1	CDK1	in vivo
CCNA1	CDK2	in vivo
CCNA1	CDKN1A	protein array
CCNA1	CDKN1B	affinity chromatography technology
CCNA1	CDT1	coimmunoprecipitation
CCNA1	CKS1B	affinity chromatography technology
CCNA1	CKS2	affinity chromatography technology
CCNA1	COPS5	affinity chromatography technology
CCNA1	COPS6	affinity chromatography technology
CCNA1	CSNK1D	anti bait coimmunoprecipitation
CCNA1	CSNK1E	anti bait coimmunoprecipitation
CCNA1	CUL1	two hybrid
CCNA1	CUX1	pull down
CCNA1	E2F1	in vivo
CCNA1	EIF3F	anti bait coimmunoprecipitation
CCNA1	EIF3I	anti bait coimmunoprecipitation
CCNA1	FZR1	affinity chromatography technology
CCNA1	GANAB	anti bait coimmunoprecipitation
CCNA1	GNB2L1	in vivo
CCNA1	GOT2	anti bait coimmunoprecipitation
CCNA1	GPS2	in vivo
CCNA1	HIST1H1A	biochemical
CCNA1	HIST1H1B	enzymatic study
CCNA1	HIST1H2BA	enzymatic study
CCNA1	INCA1	two hybrid
CCNA1	KIAA0101	affinity chromatography technology
CCNA1	KIAA1967	affinity chromatography technology
CCNA1	KLHDC9	two hybrid
CCNA1	LARP4B	anti bait coimmunoprecipitation
CCNA1	LRPPRC	anti bait coimmunoprecipitation
CCNA1	LRRC59	anti bait coimmunoprecipitation
CCNA1	MCC	anti bait coimmunoprecipitation
CCNA1	MCM2	anti bait coimmunoprecipitation
CCNA1	MCM3	anti bait coimmunoprecipitation
CCNA1	MCM4	in vitro
CCNA1	MCM6	protein array
CCNA1	MTHFD1	anti bait coimmunoprecipitation
CCNA1	MYBL2	pull down
CCNA1	NPAT	pull down
CCNA1	OAT	anti bait coimmunoprecipitation
CCNA1	PAICS	anti bait coimmunoprecipitation
CCNA1	PFAS	anti bait coimmunoprecipitation
CCNA1	PGR	affinity chromatography technology
CCNA1	PPP1CA	affinity chromatography technology
CCNA1	PPP2CB	anti bait coimmunoprecipitation
CCNA1	PROCA1	two hybrid
CCNA1	PSMD6	anti bait coimmunoprecipitation
CCNA1	PTK2	anti bait coimmunoprecipitation
CCNA1	RB1	in vivo
CCNA1	RBL1	pull down
CCNA1	RBL2	in vivo
CCNA1	RBM4	two hybrid
CCNA1	RPA1	biochemical
CCNA1	SEC13	anti bait coimmunoprecipitation
CCNA1	SKP2	affinity chromatography technology
CCNA1	SP1	pull down
CCNA1	SRC	affinity chromatography technology
CCNA1	SRY	enzymatic study
CCNA1	STOML2	anti bait coimmunoprecipitation
CCNA1	TCF4	pull down
CCNA1	TGFB1I1	affinity chromatography technology
CCNA1	TRIM28	anti bait coimmunoprecipitation
CCNA1	TUFM	anti bait coimmunoprecipitation
CCNA1	UBC	affinity chromatography technology
CCNA1	USP2	affinity chromatography technology
CCNA1	VHL	anti bait coimmunoprecipitation
CCNA1	VPS18	anti bait coimmunoprecipitation
CCNA1	XPO5	anti bait coimmunoprecipitation
CCNA1	XRCC6	in vivo
CCNA2	CDC20	affinity chromatography technology
CCNA2	CDC25C	in vitro
CCNA2	CDC27	affinity chromatography technology
CCNA2	CDC6	pull down
CCNA2	CDK1	in vivo
CCNA2	CDK2	in vivo
CCNA2	CDK3	in vivo
CCNA2	CDK4	affinity chromatography technology
CCNA2	CDKN1A	two hybrid
CCNA2	CDKN1B	protein kinase assay
CCNA2	CDT1	affinity chromatography technology
CCNA2	CHAF1A	anti tag coimmunoprecipitation
CCNA2	CKS1B	affinity chromatography technology
CCNA2	CKS2	affinity chromatography technology
CCNA2	COPS5	affinity chromatography technology
CCNA2	COPS6	affinity chromatography technology
CCNA2	CUL1	affinity chromatography technology
CCNA2	DTNBP1	two hybrid
CCNA2	E2F1	in vivo
CCNA2	E2F3	in vivo
CCNA2	E2F4	in vitro
CCNA2	EIF2AK2	affinity chromatography technology
CCNA2	FEN1	enzymatic study
CCNA2	FZR1	affinity chromatography technology
CCNA2	HERC5	affinity chromatography technology
CCNA2	HIRA	in vitro
CCNA2	HIST1H1A	enzymatic study
CCNA2	ITGB3BP	two hybrid
CCNA2	KAT2B	affinity chromatography technology
CCNA2	KIAA0101	affinity chromatography technology
CCNA2	KRT1	affinity chromatography technology
CCNA2	MDC1	affinity chromatography technology
CCNA2	MYBL2	in vivo
CCNA2	ORC1	affinity chromatography technology
CCNA2	ORC2	affinity chromatography technology
CCNA2	PCNA	coimmunoprecipitation
CCNA2	PGR	in vivo
CCNA2	PSMA6	affinity chromatography technology
CCNA2	PSME1	enzymatic study
CCNA2	PTMA	in vitro
CCNA2	RB1	enzymatic study
CCNA2	RBL1	in vitro
CCNA2	RBL2	anti bait coimmunoprecipitation
CCNA2	RPA1	pull down
CCNA2	SKP1	in vivo
CCNA2	SKP2	in vivo
CCNA2	SP1	affinity chromatography technology
CCNA2	SRC	biophysical
CCNA2	SRY	affinity chromatography technology
CCNA2	TAF1	in vitro
CCNA2	TCF4	affinity chromatography technology
CCNA2	TP53	in vivo
CCNA2	TRAF3IP1	two hybrid
CCNA2	UBC	affinity chromatography technology
CCNA2	UBTF	in vivo
CCNA2	UHRF2	far western blotting
CCNA2	UIMC1	affinity chromatography technology
CCNA2	USP37	affinity chromatography technology
CCNB1	CCNB1IP1	two hybrid
CCNB1	CCNF	in vivo
CCNB1	CDC16	affinity chromatography technology
CCNB1	CDC20	affinity chromatography technology
CCNB1	CDC23	affinity chromatography technology
CCNB1	CDC25A	affinity chromatography technology
CCNB1	CDC25C	pull down
CCNB1	CDC26	affinity chromatography technology
CCNB1	CDC27	affinity chromatography technology
CCNB1	CDH1	affinity chromatography technology
CCNB1	CDK1	in vivo
CCNB1	CDKN1A	in vivo
CCNB1	CDKN1B	in vitro
CCNB1	CKS1B	affinity chromatography technology
CCNB1	CKS2	affinity chromatography technology
CCNB1	FBXO5	pull down
CCNB1	FLNA	in vivo
CCNB1	FOXM1	affinity chromatography technology
CCNB1	FZR1	enzymatic study
CCNB1	GADD45A	pull down
CCNB1	GADD45B	in vitro
CCNB1	GADD45G	in vitro
CCNB1	GAPDH	affinity chromatography technology
CCNB1	HERC5	affinity chromatography technology
CCNB1	HIST1H1A	enzymatic study
CCNB1	ITPR1	in vitro
CCNB1	KAT5	in vivo
CCNB1	KIAA0101	affinity chromatography technology
CCNB1	MAP4	in vivo
CCNB1	MDC1	affinity chromatography technology
CCNB1	MEF2C	in vitro
CCNB1	MGMT	affinity chromatography technology
CCNB1	MOK	in vitro
CCNB1	PBK	in vitro
CCNB1	PCNA	in vivo
CCNB1	PIN1	in vitro
CCNB1	PKMYT1	in vitro
CCNB1	PLK1	in vivo
CCNB1	PPP1CA	affinity chromatography technology
CCNB1	PPP1CB	affinity chromatography technology
CCNB1	PPP1CC	affinity chromatography technology
CCNB1	PSMA6	affinity chromatography technology
CCNB1	PSMD4	pull down
CCNB1	PSME1	affinity chromatography technology
CCNB1	PTCH1	anti tag coimmunoprecipitation
CCNB1	PTMA	in vitro
CCNB1	RAD23A	pull down
CCNB1	RALBP1	in vivo
CCNB1	RPA1	biochemical
CCNB1	RUNX2	in vivo
CCNB1	SET	affinity chromatography technology
CCNB1	SKP2	affinity chromatography technology
CCNB1	SP1	imaging technique
CCNB1	SRY	affinity chromatography technology
CCNB1	TCF4	pull down
CCNB1	TGFBR2	in vitro
CCNB1	TSC1	in vivo
CCNB1	TSPYL2	affinity chromatography technology
CCNB1	TULP3	anti bait coimmunoprecipitation
CCNB1	UBC	affinity chromatography technology
CCNB1	UBE2K	pull down
CCNB1	UBE3D	pull down
CCNB1	UBQLN1	pull down
CCNB1	UHRF2	antibody array
CCNB1	USP37	affinity chromatography technology
CCNB1	ZC3HC1	pull down
CCNB1IP1	UBE2L3	two hybrid
CCNB2	CDK1	inferred by curator
CCNB2	CDK2	protein array
CCNB2	CDKN1A	protein array
CCNB2	CKS1B	affinity chromatography technology
CCNB2	CKS2	affinity chromatography technology
CCNB2	FLNA	two hybrid pooling approach
CCNB2	MCM2	protein array
CCNB2	TGFBR2	pull down
CCNB2	TSPYL2	affinity chromatography technology
CCNB2	UBC	affinity chromatography technology
CCNB3	CDK2	in vivo
CCNC	CDK3	in vivo
CCNC	CDK8	anti bait coimmunoprecipitation
CCNC	MED1	in vivo
CCNC	MED8	in vitro
CCNC	TP63	two hybrid
CCND1	CCNDBP1	in vivo
CCND1	CDK1	biophysical
CCND1	CDK2	in vivo
CCND1	CDK4	in vivo
CCND1	CDK6	in vivo
CCND1	CDKN1A	in vivo
CCND1	CDKN1B	anti bait coimmunoprecipitation
CCND1	CDKN2A	two hybrid
CCND1	CKS1B	biophysical
CCND1	CRYAB	affinity chromatography technology
CCND1	CTNNB1	in vivo
CCND1	CUL1	affinity chromatography technology
CCND1	CUL3	in vivo
CCND1	CUL7	affinity chromatography technology
CCND1	DBC1	two hybrid
CCND1	DMTF1	in vivo
CCND1	ELAVL1	pull down
CCND1	EP300	in vitro
CCND1	ESR1	in vivo
CCND1	FBXO31	affinity chromatography technology
CCND1	FBXO4	affinity chromatography technology
CCND1	FBXO5	pull down
CCND1	FBXW8	affinity chromatography technology
CCND1	GLRA1	two hybrid
CCND1	GSK3B	in vivo
CCND1	HDAC1	in vivo
CCND1	HDAC2	affinity chromatography technology
CCND1	HDAC3	in vivo
CCND1	HERC5	in vivo
CCND1	HSPA8	affinity chromatography technology
CCND1	IFI27	in vivo
CCND1	INSM1	in vivo
CCND1	KAT2B	in vivo
CCND1	LPL	two hybrid
CCND1	MAPK1	affinity chromatography technology
CCND1	MAPK11	enzymatic study
CCND1	MCM10	peptide array
CCND1	MCM2	two hybrid
CCND1	MCM3	two hybrid
CCND1	MCM6	two hybrid
CCND1	MCM7	two hybrid
CCND1	MPO	two hybrid
CCND1	MYBL2	in vitro
CCND1	NCOA1	affinity chromatography technology
CCND1	NCOA3	in vivo
CCND1	NEUROD1	in vitro
CCND1	NPDC1	pull down
CCND1	ORC4	protein array
CCND1	PCNA	in vivo
CCND1	POLR1B	two hybrid
CCND1	PPP1CB	affinity chromatography technology
CCND1	PPP1CC	antibody array
CCND1	PRKACA	in vivo
CCND1	PRMT5	affinity chromatography technology
CCND1	PSMA6	affinity chromatography technology
CCND1	PSME1	affinity chromatography technology
CCND1	RABEP1	two hybrid
CCND1	RALA	confocal microscopy
CCND1	RB1	pull down
CCND1	RBL1	in vivo
CCND1	RBL2	two hybrid
CCND1	RBX1	in vivo
CCND1	RFC1	in vivo
CCND1	RUNX1	in vivo
CCND1	SKP1	affinity chromatography technology
CCND1	SP1	affinity chromatography technology
CCND1	SRC	biophysical
CCND1	SRY	affinity chromatography technology
CCND1	STAT3	pull down
CCND1	TAF1	pull down
CCND1	TCF4	affinity chromatography technology
CCND1	THRA	pull down
CCND1	THRB	in vivo
CCND1	TSC2	in vitro
CCND1	UBC	affinity chromatography technology
CCND1	UHRF2	antibody array
CCND1	USP2	enzymatic study
CCND1	WDR77	anti tag coimmunoprecipitation
CCND1	XPO1	affinity chromatography technology
CCND2	CDK2	two hybrid
CCND2	CDK4	in vivo
CCND2	CDK5	in vivo
CCND2	CDKN1A	anti bait coimmunoprecipitation
CCND2	CDKN1B	two hybrid
CCND2	CDKN2A	two hybrid
CCND2	DMTF1	in vivo
CCND2	HIST1H1A	affinity chromatography technology
CCND2	NPDC1	in vitro
CCND2	PCGF2	two hybrid pooling approach
CCND2	PSMD10	two hybrid
CCND2	RB1	two hybrid
CCND2	RBX1	affinity chromatography technology
CCND2	RUNX1	in vivo
CCND2	SERTAD1	pull down
CCND2	TSC2	affinity chromatography technology
CCND2	UBC	affinity chromatography technology
CCND3	CDK11B	two hybrid
CCND3	CDK14	two hybrid
CCND3	CDK4	two hybrid|protein array
CCND3	CDK6	two hybrid
CCND3	CDKN1A	protein array
CCND3	CDKN1B	in vivo|two hybrid
CCND3	CRABP2	in vitro
CCND3	DMTF1	in vivo
CCND3	DTNBP1	two hybrid
CCND3	EFEMP2	two hybrid pooling approach|two hybrid
CCND3	EIF3K	in vivo
CCND3	ETV1	two hybrid
CCND3	FAS	two hybrid
CCND3	GC	two hybrid
CCND3	MAF1	two hybrid
CCND3	MAPK4	in vivo
CCND3	MAPK6	two hybrid
CCND3	MCM10	protein array
CCND3	MYB	two hybrid
CCND3	NCOA2	in vivo
CCND3	NME1	two hybrid
CCND3	NPDC1	in vitro
CCND3	PCNA	in vitro
CCND3	PPP1CB	antibody array
CCND3	PPP1CC	antibody array
CCND3	RARA	in vitro
CCND3	RBL2	two hybrid
CCND3	RUNX1	in vivo
CCND3	SIL1	two hybrid
CCND3	VDR	in vivo
CCNDBP1	COPS5	two hybrid
CCNDBP1	DAPK1	affinity chromatography technology
CCNDBP1	DKFZp572F2170	two hybrid
CCNDBP1	GRAP2	two hybrid
CCNDBP1	IMP3	two hybrid array
CCNDBP1	MRPS9	two hybrid
CCNDBP1	RRAD	pull down
CCNDBP1	SIRT6	affinity chromatography technology
CCNDBP1	SYF2	two hybrid
CCNDBP1	TCF3	two hybrid
CCNDBP1	UBC	affinity chromatography technology
CCNDBP1	ZNF334	two hybrid
CCNE1	CCT2	affinity chromatography technology
CCNE1	CCT4	in vitro
CCNE1	CDC25A	affinity chromatography technology
CCNE1	CDK1	biophysical
CCNE1	CDK3	in vivo
CCNE1	CDK4	affinity chromatography technology
CCNE1	CDKN1A	two hybrid
CCNE1	CDKN1B	affinity chromatography technology
CCNE1	CDT1	affinity chromatography technology
CCNE1	CETN1	biochemical
CCNE1	CISH	affinity chromatography technology
CCNE1	COIL	in vitro
